,idx
0,15023
1,182269
2,132312
3,103669
4,108517
5,185258
6,52660
7,235196
8,116187
9,252222
10,270127
11,170254
12,266113
13,42979
14,55682
15,194843
16,89424
17,120954
18,173774
19,206151
20,3978
21,108961
22,148437
23,244276
24,49450
25,114213
26,232918
27,143880
28,4746
29,23191
30,76754
31,106901
32,112552
33,65573
34,18966
35,98331
36,172416
37,16224
38,150948
39,168931
40,146710
41,130660
42,100564
43,152554
44,123751
45,58134
46,73026
47,171590
48,239654
49,233330
50,7653
51,123272
52,270343
53,50347
54,258293
55,235827
56,130720
57,197744
58,3112
59,118305
60,33587
61,131320
62,219662
63,120995
64,27524
65,7609
66,122803
67,22975
68,140087
69,53005
70,102388
71,200280
72,223395
73,22169
74,42024
75,167897
76,189092
77,27994
78,80046
79,9111
80,80478
81,45237
82,147652
83,130005
84,122177
85,41675
86,253528
87,189257
88,209973
89,246934
90,153049
91,223931
92,3406
93,200096
94,127336
95,205904
96,116758
97,28104
98,214157
99,159929
100,223957
101,199662
102,156484
103,212624
104,128170
105,87868
106,8495
107,242932
108,244466
109,46697
110,77516
111,132306
112,245053
113,106355
114,108876
115,121399
116,151968
117,67391
118,207300
119,32944
120,75405
121,255915
122,222723
123,202078
124,181401
125,161651
126,11141
127,161392
128,194493
129,158061
130,244567
131,129450
132,218464
133,231354
134,91944
135,267125
136,48637
137,78950
138,263184
139,250180
140,76674
141,72351
142,267448
143,113357
144,140131
145,83787
146,8520
147,244652
148,4756
149,38475
150,227100
151,37202
152,11885
153,230807
154,234929
155,220430
156,20142
157,203444
158,200498
159,255359
160,10139
161,180842
162,63693
163,214354
164,241599
165,27654
166,156614
167,32354
168,46076
169,2353
170,258529
171,61141
172,147902
173,63529
174,91941
175,58331
176,132600
177,208881
178,143670
179,78773
180,177963
181,146245
182,170926
183,200103
184,150048
185,9791
186,231365
187,33118
188,68523
189,157490
190,203296
191,41568
192,16911
193,156390
194,44657
195,81869
196,39206
197,153792
198,71122
199,48624
200,231305
201,234446
202,262536
203,2461
204,57026
205,217219
206,134677
207,10978
208,192433
209,185625
210,220042
211,270985
212,211967
213,159908
214,196033
215,34172
216,13535
217,54902
218,18169
219,66960
220,85691
221,91122
222,150805
223,175990
224,201163
225,86337
226,251597
227,60575
228,221438
229,6197
230,45541
231,170752
