,idx
0,300
1,1171
2,14
3,1745
4,3236
5,15
6,16
7,7
8,3463
9,1646
10,12
11,4
12,2323
13,5629
14,6253
15,3629
16,6424
17,603
18,35
19,236
20,263
21,53
22,125
23,100
24,302
25,68
26,87
27,215
28,160
29,194
30,73
31,22
32,140
33,24
34,131
35,146
36,24995
37,97
38,99006
39,109
40,39
41,65
42,69
43,44
44,86
45,21
46,56
47,82
48,36
49,55
50,48
51,54
52,25
53,153
54,50
55,29
56,72
57,93
58,150
59,83
60,201
61,185
62,142
63,120
64,149
65,119
66,141
67,84
68,79
69,38
70,106
71,61
72,342
73,578
74,28
75,89
76,34
77,745
78,139
79,18
80,22905
81,9163
82,29848
83,6984
84,10118
85,40681
86,37779
87,8507
88,2666
89,28135
90,35899
91,19964
92,29903
93,481
94,36906
95,31713
96,12544
97,197
98,12838
99,4194
100,9902
101,31824
102,40460
103,21008
104,28923
105,7036
106,4967
107,36108
108,26423
109,22659
110,25248
111,23761
112,6081
113,4051
114,18969
115,24744
116,22240
117,24509
118,4920
119,35171
120,65148
121,16092
122,64545
123,22691
124,23493
125,11991
126,29983
127,19228
128,769
129,38203
130,28929
131,19959
132,60064
133,37001
134,68104
135,30965
136,36013
137,40183
138,97803
139,53298
140,37152
141,34341
142,14067
143,26170
144,1431
145,28510
146,5067
147,32818
148,43407
149,7738
150,46883
151,38774
152,89452
153,22309
154,49883
155,77914
156,27439
157,64635
158,1988
159,27961
160,34484
161,25554
162,70483
163,77090
164,97245
165,17658
166,47628
167,9285
168,35049
169,66401
170,1632
171,69745
172,17175
173,4968
174,39938
175,33139
176,16999
177,66435
178,28404
179,44693
180,25244
181,7115
182,19154
183,11447
184,34531
185,27224
186,17019
187,42220
188,39306
189,8994
190,58962
191,31596
192,62136
193,10308
194,29838
195,13748
196,33628
197,23184
198,12123
199,51316
200,13051
201,19380
202,13659
203,57371
204,10817
205,40789
206,27375
207,55613
208,60011
209,11834
210,10056
211,14551
212,11898
213,52862
214,14969
215,20194
216,69331
217,51045
218,14095
219,21662
220,8943
221,45637
222,34838
223,484
224,9829
225,90472
226,17316
227,33064
228,23940
229,843
230,77688
231,9342
232,31790
233,58476
234,25696
235,56802
236,61777
237,565
238,13106
239,62814
240,49737
241,7876
242,30792
243,325
244,28902
245,11841
246,11196
247,32115
248,31063
249,10567
250,44684
251,9969
252,60949
253,13317
254,53249
255,7700
256,11166
257,29526
258,23108
259,14946
260,93613
261,24078
262,18597
263,12535
264,15232
265,15115
266,601
267,437
268,21075
269,12666
270,29033
271,230
272,3823
273,16866
274,275
275,675
276,56072
277,1201
278,26606
279,19871
280,28911
281,51378
282,381
283,97064
284,32112
285,9809
286,524
287,41116
288,9935
289,28983
290,37370
291,31150
292,62877
293,14976
294,10650
295,15785
296,7608
297,8747
298,353
299,25407
300,26635
301,9404
302,22235
303,52737
304,725
305,12600
306,10711
307,13132
308,516
309,254
310,35295
311,55580
312,423
313,44091
314,6900
315,12258
316,9452
317,7868
318,10475
319,25307
320,83726
321,26302
322,68499
323,279
324,9720
325,24174
326,60677
327,37671
