,idx
0,109543
1,109544
2,109542
3,109545
4,141755
5,109547
6,46482
7,213344
8,109546
9,109423
10,100995
11,202575
12,141751
13,153577
14,270282
15,141754
16,141753
17,62250
18,254920
19,96404
20,266041
21,79748
22,99704
23,5826
24,95189
25,11258
26,107040
27,46067
28,223571
29,100011
30,112030
31,42711
32,19292
33,74829
34,34808
35,243095
36,44251
37,83500
38,161644
39,209058
40,184562
41,35080
42,39139
43,263969
44,249745
45,111660
46,103221
47,118876
48,206893
49,38319
50,200419
51,26890
52,167861
53,34755
54,242268
55,188484
56,111533
57,160809
58,257622
59,226350
60,220728
61,60957
62,220147
63,125839
64,200517
65,118199
66,126519
67,112515
68,170630
69,219337
70,60630
71,101415
72,214109
73,39919
74,236401
75,130047
76,8172
77,66933
78,104938
79,73558
80,20032
81,65438
82,231394
83,263928
84,253385
85,200930
86,211075
87,92445
88,210659
89,221075
90,242337
91,229599
92,125640
93,28349
94,61246
95,241284
96,227967
97,255039
98,234934
99,40521
100,237225
101,219481
102,186859
103,122715
104,195151
105,59055
106,133334
107,268595
108,14722
109,253452
110,115059
111,220258
112,225946
113,27064
114,43444
115,187381
116,126626
117,242711
118,221665
119,263269
120,26748
121,3271
122,112082
123,49491
124,223319
125,191987
126,223598
127,131522
128,26776
129,141553
130,238557
131,244410
132,155807
133,244376
134,72759
135,146430
136,58224
137,155980
138,27439
139,252025
140,166450
141,264156
142,108961
143,27492
144,134858
145,133158
146,49697
147,134539
148,218682
149,252606
150,155349
151,108457
152,90497
153,6823
154,244344
155,62661
156,113570
157,179269
158,97524
159,220218
160,119895
161,237227
162,229685
163,32751
164,185660
165,262434
166,221145
167,164964
168,55246
169,184182
170,175464
171,160898
172,255426
173,235753
174,128954
175,203441
176,131193
177,54985
178,45752
179,242176
180,51440
181,27010
182,244372
183,131036
184,53625
185,196615
186,65793
187,5638
188,225435
189,113767
190,27049
191,201690
192,144459
193,230851
194,226744
195,122710
196,252124
197,74558
198,110815
199,6898
200,103258
201,144107
202,266808
203,230400
204,53038
205,233032
206,248304
207,214081
208,132567
209,105648
210,253163
211,210014
212,24382
213,55365
214,63977
215,56464
216,125111
217,230502
218,16900
219,51543
220,62255
221,19459
222,72352
223,95208
224,252684
225,250224
226,174634
227,131159
228,128692
229,59631
230,230249
231,61435
232,117478
233,87137
234,189960
235,60395
236,262888
237,229694
238,89359
239,106596
240,53023
241,56543
242,18722
243,97739
244,125817
245,79373
246,41062
247,133473
248,36930
