,idx
0,109546
1,141755
2,270282
3,213344
4,141753
5,141751
6,141754
7,109545
8,109547
9,109543
10,109544
11,109542
12,100995
13,46482
14,202575
15,109423
16,153577
17,254920
18,96404
19,62250
20,266041
21,5826
22,99704
23,263969
24,203461
25,252025
26,112030
27,83500
28,39139
29,103221
30,220728
31,74829
32,46067
33,11258
34,74558
35,111660
36,242337
37,223571
38,257622
39,100011
40,35080
41,220147
42,268595
43,38319
44,95189
45,44251
46,107040
47,184562
48,65438
49,8172
50,167861
51,42711
52,79748
53,103258
54,20032
55,161644
56,160809
57,155980
58,243095
59,209058
60,122710
61,61246
62,227967
63,206893
64,126519
65,252039
66,104938
67,118876
68,101415
69,26890
70,27492
71,186859
72,134539
73,200930
74,131036
75,60630
76,252606
77,200517
78,229599
79,131193
80,249745
81,145199
82,236401
83,89816
84,73558
85,66933
86,19292
87,242711
88,131522
89,195151
90,87137
91,34755
92,62661
93,244376
94,146430
95,244344
96,113570
97,226350
98,155807
99,74554
100,125640
101,40521
102,188484
103,255039
104,111533
105,3271
106,34808
107,160898
108,66038
109,206615
110,28349
111,244372
112,210659
113,214109
114,58224
115,125839
116,147973
117,14722
118,108961
119,219337
120,133158
121,27439
122,96935
123,220218
124,179269
125,253452
126,89359
127,170630
128,112515
129,220258
130,55365
131,234934
132,221665
133,219481
134,112082
135,39919
136,139765
137,59055
138,17813
139,118199
140,221075
141,117478
142,253385
143,225946
144,5638
145,126626
146,13265
147,164964
148,231394
149,49491
150,115059
151,156206
152,91542
153,235753
154,255426
155,208987
156,200419
157,43444
158,253163
159,108457
160,252087
161,122715
162,27010
163,248304
164,27131
165,53625
166,53038
167,131159
168,237227
169,92445
170,223598
171,133334
172,49697
173,51543
174,6823
175,72352
176,125111
177,70457
178,113767
179,19459
180,79373
181,223531
182,20712
183,55672
184,198641
185,185660
186,264156
187,128692
188,27049
189,158635
190,237225
191,59701
192,241284
193,2301
194,155349
195,106249
196,70378
197,133473
198,244410
199,16646
200,55246
201,134858
202,219660
203,90497
204,221145
205,195754
206,230502
207,141553
208,218682
209,268405
210,230851
211,203441
212,119895
213,57515
214,51440
215,223445
216,105648
217,54985
218,242268
219,266808
220,97178
221,177493
222,18722
223,230070
224,93402
225,29048
226,32751
227,242176
228,263269
229,170361
230,62255
231,238557
232,27296
233,166247
234,97524
235,65793
236,133093
237,250224
238,102900
239,223319
240,253583
241,230249
242,58111
243,23118
244,226744
245,110815
246,36930
247,263928
248,166450
249,60395
250,203093
251,131213
252,168117
253,211075
254,6898
255,187381
256,27064
257,112471
258,238791
259,244552
260,201690
261,158852
262,68718
263,135959
264,89854
265,26658
266,136660
267,174634
268,242602
269,21645
270,201038
271,16828
272,225435
273,98743
274,48374
275,243310
276,77873
277,215819
278,165332
279,201666
280,16731
281,95780
282,79052
283,180983
284,227291
285,189960
286,67056
287,61435
288,19555
289,41062
290,191987
291,14606
292,9038
293,78043
294,90547
295,5696
296,115449
297,193269
298,100769
299,223981
300,96075
301,24382
302,60536
303,177756
304,32924
305,229694
306,7168
307,262888
308,253223
309,119511
310,72747
311,17867
