,idx
271125,48175
271124,160770
271123,63393
271122,58331
271121,255852
271120,169315
271119,189970
271118,44454
271117,157553
271116,64735
271115,5701
271114,224049
271113,185818
271112,67055
271111,45663
271110,253510
271109,165154
271108,56867
271107,219604
271106,26455
271105,43299
271104,63298
271103,5056
271102,25639
271101,259172
271100,155329
271099,265708
271098,56054
271097,57024
271096,250833
271095,143489
271094,187406
271093,171400
271092,171811
271091,195027
271090,26081
271089,266692
271088,133618
271087,242172
271086,206685
271085,202388
271084,169698
271083,222160
271082,40287
271081,154532
271080,181256
271079,70581
271078,235787
271077,202424
271076,44699
271075,231389
271074,25635
271073,19287
271072,29141
271071,102469
271070,6512
271069,28556
271068,41464
271067,84727
271066,118476
271065,270942
271064,161042
271063,92799
271062,53340
271061,38845
271060,54379
271059,9552
271058,126378
271057,11156
271056,230492
271055,202261
271054,220912
271053,155694
271052,267837
271051,20168
271050,261356
271049,51428
271048,48672
271047,198426
271046,6514
271045,96224
271044,94909
271043,233008
271042,247451
271041,100137
271040,208418
271039,24686
271038,129289
271037,102927
271036,210879
271035,148981
271034,221157
271033,270480
271032,244566
271031,162157
271030,165814
271029,27
271028,388
271027,26763
271026,22577
271025,162255
271024,92505
271023,56427
271022,205665
271021,90300
271020,268353
271019,92975
271018,230239
271017,182263
271016,160888
271015,118211
271014,137111
271013,41467
271012,1701
271011,234802
271010,197032
271009,141165
271008,84752
271007,214157
271006,247414
271005,8315
271004,213894
271003,269881
271002,163784
271001,113439
271000,166031
270999,46412
270998,133245
270997,145206
270996,568
270995,7788
270994,157173
270993,192432
270992,235105
270991,136386
270990,156650
270989,115497
270988,123728
270987,98411
270986,215889
270985,254881
270984,96763
270983,189063
270982,213059
270981,160856
270980,88849
270979,63449
270978,107502
270977,251756
270976,256955
270975,19680
270974,153170
270973,133087
270972,78405
270971,66063
270970,219530
270969,242344
270968,192984
270967,62244
270966,158936
270965,12112
270964,35557
270963,31148
270962,99543
270961,266260
270960,104603
270959,27623
270958,253638
270957,124496
270956,269722
270955,94430
270954,259277
270953,106514
270952,133652
270951,212644
270950,38597
270949,257345
270948,222581
270947,217156
270946,40524
270945,135419
270944,176349
270943,247506
270942,112929
270941,253565
270940,133788
270939,149139
270938,70225
270937,104409
270936,270342
270935,101705
270934,68089
270933,128167
270932,205674
270931,174176
270930,231725
270929,37404
270928,259786
270927,32927
270926,125567
270925,157593
270924,173392
270923,7895
270922,90060
270921,77711
270920,229191
270919,63591
270918,66916
270917,98857
270916,163409
270915,41485
270914,134394
270913,253123
270912,155696
270911,15118
270910,67039
270909,107210
270908,188503
270907,140151
270906,263685
270905,77410
270904,92510
270903,200763
270902,94919
270901,27938
270900,147494
270899,244716
270898,43700
270897,243789
270896,88108
270895,52468
270894,254041
270893,157758
270892,213298
270891,248045
270890,150127
270889,114935
270888,50147
270887,16237
270886,221616
270885,153300
270884,96653
270883,97794
270882,241814
270881,227716
270880,202174
270879,155181
270878,137341
270877,106466
270876,2591
270875,198658
270874,29560
270873,25956
270872,2652
270871,229869
270870,82892
270869,11332
270868,56199
270867,143915
270866,154899
270865,263747
270864,109335
270863,192113
270862,106452
270861,205881
270860,154877
270859,180216
270858,65005
270857,10835
270856,253632
270855,135237
270854,232943
270853,188136
270852,74798
270851,198372
270850,132981
270849,143491
270848,64869
270847,198054
270846,162081
270845,130996
270844,35624
270843,41611
270842,131128
270841,140338
270840,126106
270839,221887
270838,243765
270837,14642
270836,156867
270835,38316
270834,214423
270833,268719
270832,43484
270831,21681
270830,145181
270829,260481
270828,42000
270827,155435
270826,232822
270825,109185
270824,268136
270823,6925
270822,99338
270821,110816
270820,140666
270819,93580
270818,268736
270817,260068
270816,55725
270815,147599
270814,185603
270813,119030
270812,84393
270811,63446
270810,134708
270809,70571
270808,146866
270807,74900
270806,45501
270805,44182
270804,78419
270803,256950
270802,179939
270801,252302
270800,66101
270799,16210
270798,42341
270797,139643
270796,71689
270795,80316
270794,128979
270793,220323
270792,261362
270791,253453
270790,208251
270789,65425
270788,221140
270787,49770
270786,145565
270785,116521
270784,43482
270783,172391
270782,109312
270781,107324
270780,117091
270779,32309
270778,175736
270777,162260
270776,115252
270775,134888
270774,177211
270773,81136
270772,43642
270771,114679
270770,134491
270769,135947
270768,123688
270767,230812
270766,111581
270765,39957
270764,60585
270763,238378
270762,165901
270761,268008
270760,143144
270759,26716
270758,237548
270757,144658
270756,223507
270755,129406
270754,106666
270753,30963
270752,53941
270751,133641
270750,241110
270749,251611
270748,35140
270747,88285
270746,239522
270745,4496
270744,44427
270743,155762
270742,91213
270741,96608
270740,131566
270739,46180
270738,175552
270737,112083
270736,40248
270735,225255
270734,74828
270733,42043
270732,99802
270731,7976
270730,29273
270729,74830
270728,32914
270727,53998
270726,230796
270725,219653
270724,235936
270723,42689
270722,25036
270721,42845
270720,244218
270719,49775
270718,61889
270717,263697
270716,162922
270715,93595
270714,148299
270713,182471
270712,126409
270711,167640
270710,40329
270709,39330
270708,148322
270707,230308
270706,216982
270705,266226
270704,4998
270703,50583
270702,188057
270701,104410
270700,188035
270699,83859
270698,32657
270697,142403
270696,94678
270695,76796
270694,3489
270693,268741
270692,77884
270691,220268
270690,171037
270689,117132
270688,123192
270687,191024
270686,127729
270685,139461
270684,32618
270683,235647
270682,96053
270681,175043
270680,46579
270679,105652
270678,188073
270677,11892
270676,254040
270675,245208
270674,161473
270673,98442
270672,230115
270671,206258
270670,264067
270669,194017
270668,206278
270667,187700
270666,45687
270665,46185
270664,42423
270663,119926
270662,174179
270661,92268
270660,236373
270659,136481
270658,269994
270657,28910
270656,228066
270655,210954
270654,188129
270653,37551
270652,40324
270651,178657
270650,108825
270649,2208
270648,48442
270647,50395
270646,74585
270645,94584
270644,140255
270643,96190
270642,187045
270641,202082
270640,37865
270639,266687
270638,269167
270637,244696
270636,40304
270635,39051
270634,44685
270633,261759
270632,69424
270631,244920
270630,78357
270629,264442
270628,102561
270627,90193
270626,61156
270625,178293
270624,38702
270623,16458
270622,147296
270621,271102
270620,247422
270619,202122
270618,56147
270617,191190
270616,185663
270615,196207
270614,123746
270613,184605
270612,187358
270611,263806
270610,123735
270609,25846
270608,247209
270607,160401
270606,144235
270605,266002
270604,270192
270603,160851
270602,111928
270601,2261
270600,234016
270599,116569
270598,62249
270597,38623
270596,2981
270595,221445
270594,228540
270593,1678
270592,33502
270591,26130
270590,21521
270589,120984
270588,227816
270587,191261
270586,43634
270585,268303
270584,18938
270583,11584
270582,133337
270581,150367
270580,76383
270579,4055
270578,72936
270577,172420
270576,206020
270575,268326
270574,225542
270573,63468
270572,60717
270571,253040
270570,121745
270569,243914
270568,140712
270567,221584
270566,5780
270565,26697
270564,83564
270563,215870
270562,143856
270561,121494
270560,136627
270559,42593
270558,230174
270557,34807
270556,172164
270555,68741
270554,223438
270553,269139
270552,78414
270551,216310
270550,30923
270549,119032
270548,257363
270547,199583
270546,110038
270545,220554
270544,262636
270543,87980
270542,185597
270541,53006
270540,219498
270539,77750
270538,228169
270537,118620
270536,178026
270535,266884
270534,126087
270533,106364
270532,134682
270531,219102
270530,49707
270529,115246
270528,168167
270527,45496
270526,258206
270525,235446
270524,242947
270523,109331
270522,252787
270521,242419
270520,3017
270519,104763
270518,245551
270517,95063
270516,77680
270515,157201
270514,27464
270513,71970
270512,201982
270511,98716
270510,116441
270509,11976
270508,237037
270507,258509
270506,148101
270505,19472
270504,251249
270503,44729
270502,125531
270501,157439
270500,63268
270499,223032
270498,91475
270497,49784
270496,199619
270495,25653
270494,233339
270493,169016
270492,97184
270491,136650
270490,32521
270489,159260
270488,119103
270487,38305
270486,220213
270485,40874
270484,58055
270483,89971
270482,195185
270481,242154
270480,67636
270479,238652
270478,144550
270477,200918
270476,161242
270475,224027
270474,119811
270473,198926
270472,43699
270471,266698
270470,226062
270469,144063
270468,34136
270467,207505
270466,8637
270465,27705
270464,47976
270463,263295
270462,71883
270461,265384
270460,218982
270459,188396
270458,206884
270457,134528
270456,135529
270455,259035
270454,197269
270453,169020
270452,124812
270451,118657
270450,268077
270449,211248
270448,250827
270447,170499
270446,206690
270445,202673
270444,210609
270443,57157
270442,271103
270441,22789
270440,118240
270439,68017
270438,64630
270437,145792
270436,131149
270435,168931
270434,205959
270433,48496
270432,221932
270431,18947
270430,257756
270429,84203
270428,145332
270427,89458
270426,95024
270425,179016
270424,110877
270423,8486
270422,153612
270421,99509
270420,61969
270419,260529
270418,105823
270417,90848
270416,118517
270415,90109
270414,267264
270413,155682
270412,131308
270411,262074
270410,32788
270409,221141
270408,244343
270407,21182
270406,143079
270405,204059
270404,263738
270403,116522
270402,131206
270401,5951
270400,63282
270399,39076
270398,31489
270397,145757
270396,209423
270395,26777
270394,101604
270393,188516
270392,150805
270391,56540
270390,106115
270389,132306
270388,198696
270387,117706
270386,111847
270385,256044
270384,127292
270383,252868
270382,175155
270381,4865
270380,104919
270379,141542
270378,113199
270377,204556
270376,110942
270375,42733
270374,24724
270373,33333
270372,63336
270371,109950
270370,202512
270369,104504
270368,147238
270367,246097
270366,7970
270365,51375
270364,167673
270363,242158
270362,109183
270361,36235
270360,228737
270359,182520
270358,218275
270357,15077
270356,2437
270355,259755
270354,266858
270353,266239
270352,12494
270351,133464
270350,248107
270349,256244
270348,135952
270347,2503
270346,255506
270345,245215
270344,166003
270343,125793
270342,87413
270341,214926
270340,7942
270339,180067
270338,174403
270337,170080
270336,238222
270335,224875
270334,195643
270333,144074
270332,24368
270331,177594
270330,49029
270329,252307
270328,221259
270327,176475
270326,135350
270325,144925
270324,217465
270323,242121
270322,223011
270321,271100
270320,134726
270319,58396
270318,161651
270317,51880
270316,116860
270315,101454
270314,210632
270313,147766
270312,136662
270311,242570
270310,248778
270309,230473
270308,202197
270307,94239
270306,113753
270305,135279
270304,135298
270303,99763
270302,1079
270301,123478
270300,245370
270299,39281
270298,63443
270297,78379
270296,120371
270295,163967
270294,109344
270293,39319
270292,243787
270291,229178
270290,74721
270289,265355
270288,41637
270287,169538
270286,220642
270285,242018
270284,65260
270283,167223
270282,198208
270281,23550
270280,162162
270279,129737
270278,253265
270277,221543
270276,180578
270275,194704
270274,107665
270273,196241
270272,42684
270271,214100
270270,63473
270269,202528
270268,161161
270267,122744
270266,30587
270265,126481
270264,94399
270263,881
270262,121304
270261,25662
270260,79980
270259,247873
270258,129610
270257,251055
270256,161565
270255,198686
270254,252222
270253,256954
270252,99439
270251,170924
270250,115501
270249,119761
270248,23727
270247,38552
270246,205273
270245,97591
270244,244766
270243,200556
270242,63436
270241,257632
270240,39068
270239,199618
270238,95696
270237,38140
270236,148415
270235,219274
270234,162253
270233,251277
270232,28167
270231,72027
270230,154831
270229,266125
270228,134730
270227,207219
270226,178438
270225,224250
270224,225436
270223,567
270222,41125
270221,107361
270220,194705
270219,68332
270218,47545
270217,147527
270216,215585
270215,81001
270214,263547
270213,99671
270212,129742
270211,32433
270210,176014
270209,45557
270208,19387
270207,219662
270206,194306
270205,242982
270204,245181
270203,197972
270202,166476
270201,62657
270200,210981
270199,22617
270198,32647
270197,123021
270196,268778
270195,117095
270194,116568
270193,62001
270192,49937
270191,162755
270190,288
270189,179947
270188,179918
270187,154405
270186,200748
270185,257676
270184,219231
270183,216308
270182,83731
270181,23311
270180,74705
270179,139730
270178,201872
270177,261646
270176,148014
270175,112709
270174,37680
270173,11387
270172,128502
270171,257566
270170,12846
270169,174198
270168,253468
270167,198673
270166,52816
270165,268415
270164,132542
270163,132980
270162,210083
270161,163617
270160,211101
270159,228117
270158,219021
270157,86260
270156,15565
270155,114357
270154,105420
270153,53873
270152,270422
270151,162862
270150,97942
270149,81140
270148,200782
270147,4268
270146,90331
270145,260963
270144,19794
270143,70908
270142,133406
270141,174632
270140,263719
270139,221041
270138,54997
270137,17703
270136,5933
270135,8814
270134,135479
270133,179351
270132,251252
270131,20596
